"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significant"
111.171425191004,2.39722734263476,0.329933303486291,4.47919518395521e-06,0.00139087968852177,"FBgn0051092","Significant"
39.9168734731845,3.40370911445145,0.633912512593793,3.52057064857657e-06,0.00118826912803913,"FBgn0037290","Significant"
36.7563504905683,-3.52316507449445,0.689152398496667,4.00675961357797e-06,0.00129601978667524,"FBgn0024288","Significant"
3417.74125104632,-1.94541860649076,0.132731897579584,3.46261611898914e-13,3.36003611646409e-10,"FBgn0261552","Significant"
163.869197572727,-2.22881356688389,0.282577723855606,3.22866388790051e-06,0.00113927808008053,"FBgn0038832","Significant"
166.985253062925,-4.0027623468152,0.347325360078538,4.99535095722476e-20,6.46315158015596e-17,"FBgn0039827","Significant"
408.727186116329,-4.17799190516644,0.231772419741444,5.62915449929543e-45,2.18495631890152e-41,"FBgn0039155","Significant"
31683.8274185749,-2.45987756956111,0.109232989949331,2.40473509990588e-41,6.22265286018977e-38,"FBgn0026562","Significant"
259.571374153286,2.44840237249624,0.228217911467658,5.05340351283873e-11,3.92295714701671e-08,"FBgn0000071","Significant"
323.407952842259,-2.28025659729822,0.218657770598625,1.28129147176628e-09,7.65128130409356e-07,"FBgn0264475","Significant"
87.0078514305418,-2.62067259293131,0.366067715004689,1.43795523033748e-06,0.000531564116814755,"FBgn0052407","Significant"
940.093168935886,1.60027102678476,0.166566312083001,7.45343977711879e-05,0.0199520872378528,"FBgn0001226","Significant"
278.273676048069,-2.01706925980908,0.219818597049675,1.01282843820788e-06,0.00039312935829039,"FBgn0036821","Significant"
1858.33423070547,-1.60886431317589,0.131535259996028,9.32624214621463e-07,0.000381050619900338,"FBgn0023479","Significant"
2192.21410787499,-2.27543277175553,0.128534014084046,9.94566580559836e-24,1.5441640729772e-20,"FBgn0029167","Significant"
230.026702447415,1.82380077911269,0.233379754501805,9.47615891949931e-05,0.023730136029701,"FBgn0262733","Significant"
157.133098810652,2.94773925579035,0.315211100563125,6.50115269633929e-11,4.58804076197108e-08,"FBgn0035189","Significant"
372.930220598831,-2.60784323757825,0.1967196402106,5.79241507102325e-17,6.42378831376478e-14,"FBgn0035085","Significant"
132.949629652858,2.04671569356228,0.297533999469642,9.26485035525919e-05,0.023730136029701,"FBgn0011260","Significant"
93.8576279046206,-2.3253780601186,0.347420640814792,2.57867898448629e-05,0.00769934036791041,"FBgn0261584","Significant"
132.020680022472,-3.20966442462892,0.335221858093197,2.60057498128549e-12,2.24314039774658e-09,"FBgn0034736","Significant"
693.660755627386,-1.53573109531647,0.160417795549764,0.000202678153306479,0.0491684532536937,"FBgn0040091","Significant"
69.3115022941251,-3.03737638336754,0.430002693073503,1.58573354158148e-07,7.69378092706066e-05,"FBgn0264753","Significant"
12040.301477635,1.43388045823902,0.11761941787833,6.21825151318789e-05,0.0172401023203134,"FBgn0033367","Significant"
2299.39318628527,-2.96636329336294,0.12571841961605,4.2524978289214e-56,3.30121406459168e-52,"FBgn0003360","Significant"
1167.15624332264,2.79392297691731,0.137175735714517,6.60785611212303e-40,1.28241967496028e-36,"FBgn0025111","Significant"
285.104951126047,-2.30846390304626,0.214863812714176,3.00144039020562e-10,1.94168181243052e-07,"FBgn0029896","Significant"
54.6198777705516,-3.2255975009626,0.503728417244605,4.51190912122519e-07,0.000194588613933729,"FBgn0030041","Significant"
598.769590697203,-1.9301450714673,0.173886807825731,2.61134007958933e-08,1.44798807413228e-05,"FBgn0259715","Significant"
230.335257482078,-2.30578823716761,0.266659647335677,2.34413550117168e-07,0.000107044258209387,"FBgn0267992","Significant"
455.492446050121,-1.89425078884938,0.176620911366085,1.1793297992551e-07,6.10342482107823e-05,"FBgn0040099","Significant"
188.578341712041,-2.03261869212314,0.280248395790122,5.15610998740518e-05,0.0148247710489727,"FBgn0000406","Significant"
